Id,Label,Type,Behavior
jesnoggle13,jesnoggle13,Commenter,Bot-like
jeffbreezee,jeffbreezee,Commenter,Bot-like
robd237,robd237,Commenter,Bot-like
IusedtohaveausernameIliked,IusedtohaveausernameIliked,Commenter,Bot-like
cryptojack8152,cryptojack8152,Commenter,Bot-like
TonyM540,TonyM540,Commenter,Bot-like
agustinussiahaan6669,agustinussiahaan6669,Commenter,Bot-like
eugeneblue299,eugeneblue299,Commenter,Bot-like
markrichichi8484,markrichichi8484,Commenter,Bot-like
KianFloppa,KianFloppa,Commenter,Bot-like
Molt.-ep7cu1,Molt.-ep7cu1,Commenter,Bot-like
Wilko11,Wilko11,Commenter,Bot-like
pwrrpw319,pwrrpw319,Commenter,Spam
geoffgill5334,geoffgill5334,Commenter,Bot-like
JarkkoLaitinen211,JarkkoLaitinen211,Commenter,Bot-like
markaguilera493,markaguilera493,Commenter,Bot-like
DeepFinger-UA,DeepFinger-UA,Commenter,Bot-like
SanandaIAM,SanandaIAM,Commenter,Bot-like
user-vr5yw6ur5q,user-vr5yw6ur5q,Commenter,Spam
guysars1533,guysars1533,Commenter,Spam
friendlyskies3109,friendlyskies3109,Commenter,Bot-like
stevo091,stevo091,Commenter,Bot-like
garyfilmer382,garyfilmer382,Commenter,Spam
avarion9538,avarion9538,Commenter,Bot-like
jayrey5390,jayrey5390,Commenter,Bot-like & Spam
michaelhenault1444,michaelhenault1444,Commenter,Bot-like
Bluelightbandit,Bluelightbandit,Commenter,Bot-like
highendservicesbarrieont8347,highendservicesbarrieont8347,Commenter,Bot-like & Spam
darrylcurson5633,darrylcurson5633,Commenter,Bot-like
eddiegoodman9267,eddiegoodman9267,Commenter,Bot-like & Spam
AG-mz7vm,AG-mz7vm,Commenter,Bot-like & Spam
innerdinosaur2898,innerdinosaur2898,Commenter,Spam
TomatoFettuccini,TomatoFettuccini,Commenter,Bot-like
barbaramassey3787,barbaramassey3787,Commenter,Bot-like
stephenkennedy7931,stephenkennedy7931,Commenter,Spam
SendXMusic,SendXMusic,Commenter,Bot-like
kevinsummers1055,kevinsummers1055,Commenter,Bot-like
krisshivrattan11,krisshivrattan11,Commenter,Bot-like
d.f.4511,d.f.4511,Commenter,Bot-like
MausMasher54,MausMasher54,Commenter,Spam
exploark8466,exploark8466,Commenter,Spam
MrVince8,MrVince8,Commenter,Bot-like
mirandagaga9221,mirandagaga9221,Commenter,Bot-like
vincentsaiz,vincentsaiz,Commenter,Bot-like
DrakeingNbakeing,DrakeingNbakeing,Commenter,Bot-like
alantaylor353,alantaylor353,Commenter,Spam
bohdanharasymiw4441,bohdanharasymiw4441,Commenter,Bot-like
MCSonixx,MCSonixx,Commenter,Bot-like & Spam
Skyfigh,Skyfigh,Commenter,Bot-like
micaiahm1,micaiahm1,Commenter,Bot-like
marzinjedi6437,marzinjedi6437,Commenter,Bot-like
gabrsisto6885,gabrsisto6885,Commenter,Bot-like
dobreavictor9614,dobreavictor9614,Commenter,Bot-like
jasonseitz2515,jasonseitz2515,Commenter,Bot-like
nicklindberg90,nicklindberg90,Commenter,Bot-like
mikepatterson6416,mikepatterson6416,Commenter,Bot-like
DonSuperbe,DonSuperbe,Commenter,Bot-like
jo0123,jo0123,Commenter,Bot-like
ulemuchigoma4899,ulemuchigoma4899,Commenter,Bot-like
richkingdaverichking331,richkingdaverichking331,Commenter,Bot-like
dimpamili2380,dimpamili2380,Commenter,Bot-like
krishnamax4746,krishnamax4746,Commenter,Bot-like
zoltan-atillaungor365,zoltan-atillaungor365,Commenter,Bot-like
hashimoto942,hashimoto942,Commenter,Bot-like
george1737,george1737,Commenter,Bot-like
riccolaroso643,riccolaroso643,Commenter,Bot-like
koukimonzta,koukimonzta,Commenter,Bot-like
asayeworku363,asayeworku363,Commenter,Bot-like
johnmarkrobinson2924,johnmarkrobinson2924,Commenter,Bot-like
888Kphgo,888Kphgo,Commenter,Bot-like
michaelraju9566,michaelraju9566,Commenter,Bot-like
johnycage3989,johnycage3989,Commenter,Spam
patricianoll1229,patricianoll1229,Commenter,Bot-like
pratapbantawa2777,pratapbantawa2777,Commenter,Bot-like
biniram-Nyaupane.06,biniram-Nyaupane.06,Commenter,Bot-like
UkraineMatters,UkraineMatters,Commenter,Spam
carlschneider3345,carlschneider3345,Commenter,Bot-like
harrycarpenter1727,harrycarpenter1727,Commenter,Bot-like
stonefish1318,stonefish1318,Commenter,Spam
Cotictimmy,Cotictimmy,Commenter,Bot-like
jaychaff1078,jaychaff1078,Commenter,Bot-like
miketownsend6108,miketownsend6108,Commenter,Bot-like
Sarefsx,Sarefsx,Commenter,Bot-like & Spam
dianetourje1359,dianetourje1359,Commenter,Bot-like
johncromwell2529,johncromwell2529,Commenter,Bot-like
darthbuzz1,darthbuzz1,Commenter,Spam
jorgeluiscapiello414,jorgeluiscapiello414,Commenter,Bot-like
B_r_u_c_e,B_r_u_c_e,Commenter,Bot-like
DenysDavydov,DenysDavydov,Commenter,Spam
cats4terri,cats4terri,Commenter,Bot-like
erikhuisken,erikhuisken,Commenter,Bot-like & Spam
PaulFields-tf6ik,PaulFields-tf6ik,Commenter,Bot-like
garmar704,garmar704,Commenter,Bot-like
harlanjohnson4808,harlanjohnson4808,Commenter,Spam
jeffaggson874,jeffaggson874,Commenter,Bot-like
cogentdynamics,cogentdynamics,Commenter,Bot-like
denismorgan9742,denismorgan9742,Commenter,Bot-like
timotheusvanesch3959,timotheusvanesch3959,Commenter,Bot-like
mrricky3816,mrricky3816,Commenter,Bot-like
stanleytolle416,stanleytolle416,Commenter,Bot-like
armandomercado2248,armandomercado2248,Commenter,Bot-like
Katie.-..,Katie.-..,Commenter,Bot-like
StephenC-zd2kf,StephenC-zd2kf,Commenter,Bot-like
Raoul-cq3zb,Raoul-cq3zb,Commenter,Spam
grunherzjg-5443,grunherzjg-5443,Commenter,Bot-like
paulbrouyere1735,paulbrouyere1735,Commenter,Bot-like
C-A-F,C-A-F,Commenter,Bot-like
duncancremin1708,duncancremin1708,Commenter,Bot-like
nozhki-busha,nozhki-busha,Commenter,Bot-like
kaylidington,kaylidington,Commenter,Bot-like
ivantysyn2,ivantysyn2,Commenter,Bot-like
TheJasonBorn,TheJasonBorn,Commenter,Bot-like
MrJugsstein,MrJugsstein,Commenter,Spam
Umi-user911,Umi-user911,Commenter,Bot-like
Tim58167,Tim58167,Commenter,Bot-like
Alie01,Alie01,Commenter,Spam
lisbethmllegaard8437,lisbethmllegaard8437,Commenter,Bot-like
CatalystD9,CatalystD9,Commenter,Bot-like & Spam
xdmilos1,xdmilos1,Commenter,Bot-like & Spam
dougnave8258,dougnave8258,Commenter,Bot-like
DavidK-on3nr,DavidK-on3nr,Commenter,Bot-like
Mpoolos,Mpoolos,Commenter,Bot-like
UFO-Ark,UFO-Ark,Commenter,Bot-like
Aussie_T,Aussie_T,Commenter,Bot-like
seantiz,seantiz,Commenter,Bot-like
johnnewman1819,johnnewman1819,Commenter,Bot-like & Spam
Phoenix-ov5gg,Phoenix-ov5gg,Commenter,Bot-like
jdw3169,jdw3169,Commenter,Bot-like
huntingtonthornquist2958,huntingtonthornquist2958,Commenter,Bot-like
colincrisp1592,colincrisp1592,Commenter,Bot-like
viper_db5727,viper_db5727,Commenter,Bot-like
danielmadar9938,danielmadar9938,Commenter,Bot-like & Spam
jimmyspears1004,jimmyspears1004,Commenter,Bot-like
evilleader1991,evilleader1991,Commenter,Bot-like
stevesynth,stevesynth,Commenter,Bot-like
robertbrennan2268,robertbrennan2268,Commenter,Bot-like
patpat2858,patpat2858,Commenter,Bot-like
serafilm2000,serafilm2000,Commenter,Bot-like
somaday2595,somaday2595,Commenter,Bot-like
maristelayared1518,maristelayared1518,Commenter,Bot-like
markdonegan9577,markdonegan9577,Commenter,Spam
timtrewyn453,timtrewyn453,Commenter,Bot-like
user-lz2qr6ih4c,user-lz2qr6ih4c,Commenter,Bot-like
petersmeets7626,petersmeets7626,Commenter,Bot-like
LearningSpanishwithDrL,LearningSpanishwithDrL,Commenter,Bot-like & Spam
grahamnelson8674,grahamnelson8674,Commenter,Bot-like
fearandloathingmedia2051,fearandloathingmedia2051,Commenter,Bot-like
ernestoaducal7180,ernestoaducal7180,Commenter,Spam
anthonycarey9932,anthonycarey9932,Commenter,Bot-like
Whitey_Ford,Whitey_Ford,Commenter,Bot-like
eduardocarvalho861,eduardocarvalho861,Commenter,Spam
agrimensor6406,agrimensor6406,Commenter,Spam
gottfriedheumesser1994,gottfriedheumesser1994,Commenter,Bot-like
veikkonurmiranta624,veikkonurmiranta624,Commenter,Bot-like
robertlocke5427,robertlocke5427,Commenter,Bot-like
norbertdapunt1444,norbertdapunt1444,Commenter,Bot-like
ronaldcastor9419,ronaldcastor9419,Commenter,Bot-like & Spam
johnzajac9849,johnzajac9849,Commenter,Bot-like
Igors_mind,Igors_mind,Commenter,Bot-like
karolisbare,karolisbare,Commenter,Bot-like
myrtenuman621,myrtenuman621,Commenter,Bot-like
Luis4959,Luis4959,Commenter,Spam
richeswebcraft,richeswebcraft,Commenter,Bot-like
Gayzenon,Gayzenon,Commenter,Spam
user-vz4en5mx9s,user-vz4en5mx9s,Commenter,Bot-like
mikeshavingsjr6583,mikeshavingsjr6583,Commenter,Bot-like
AlfonsdenBroeder,AlfonsdenBroeder,Commenter,Bot-like
michaelg5587,michaelg5587,Commenter,Spam
galvestonwebworksdavidadam4806,galvestonwebworksdavidadam4806,Commenter,Bot-like
MaranglikPeterTo-Rot,MaranglikPeterTo-Rot,Commenter,Bot-like & Spam
michaelneal6589,michaelneal6589,Commenter,Bot-like & Spam
christophergrimes12,christophergrimes12,Commenter,Spam
mysticnovelbro,mysticnovelbro,Commenter,Bot-like
guticid2,guticid2,Commenter,Bot-like & Spam
Socrates21stCentury,Socrates21stCentury,Commenter,Bot-like
halko1,halko1,Commenter,Bot-like
ronboFPV,ronboFPV,Commenter,Bot-like
adeadcrab,adeadcrab,Commenter,Bot-like & Spam
TerryCheever,TerryCheever,Commenter,Bot-like
desdicadodog8452,desdicadodog8452,Commenter,Bot-like
stevenjohnston7809,stevenjohnston7809,Commenter,Bot-like
lifessogood2995,lifessogood2995,Commenter,Bot-like
blackterminal,blackterminal,Commenter,Bot-like & Spam
captainhadd0ck,captainhadd0ck,Commenter,Spam
robertginsburg8113,robertginsburg8113,Commenter,Bot-like
David_Bond,David_Bond,Commenter,Bot-like
mzgb7y,mzgb7y,Commenter,Bot-like
slavojalois1639,slavojalois1639,Commenter,Bot-like & Spam
donnywolf9250,donnywolf9250,Commenter,Bot-like
Theire1,Theire1,Commenter,Bot-like
